filename,width,height,class,xmin,ymin,xmax,ymax
291.jpg,1024,1024,good,45,258,992,758
307.jpg,1024,1024,good,115,143,911,879
102.jpg,1024,1024,good,79,183,937,841
109.jpg,1024,1024,good,151,100,879,915
105.jpg,1024,1024,good,43,354,992,671
206.jpg,1024,1024,good,49,273,973,749
244.jpg,1024,1024,good,237,60,783,969
092.jpg,1024,1024,good,28,356,988,745
186.jpg,1024,1024,good,154,103,879,922
196.jpg,1024,1024,good,322,28,685,988
080.jpg,1024,1024,good,124,154,911,871
048.jpg,1024,1024,good,68,228,958,811
042.jpg,1024,1024,good,88,188,941,839
243.jpg,1024,1024,good,341,39,675,979
006.jpg,1024,1024,good,45,358,985,681
319.jpg,1024,1024,good,71,192,956,839
053.jpg,1024,1024,good,149,117,894,924
089.jpg,1024,1024,good,122,117,905,892
172.jpg,1024,1024,good,354,37,671,986
288.jpg,1024,1024,good,156,75,862,932
072.jpg,1024,1024,good,88,198,939,851
137.jpg,1024,1024,good,347,41,668,979
286.jpg,1024,1024,good,345,30,666,986
301.jpg,1024,1024,good,45,317,975,694
173.jpg,1024,1024,good,154,115,879,913
012.jpg,1024,1024,good,166,107,881,920
095.jpg,1024,1024,good,115,141,913,888
254.jpg,1024,1024,good,326,37,696,983
132.jpg,1024,1024,good,92,158,932,851
093.jpg,1024,1024,good,341,39,677,981
033.jpg,1024,1024,good,332,39,690,983
116.jpg,1024,1024,good,85,192,951,843
266.jpg,1024,1024,good,37,311,992,722
209.jpg,1024,1024,good,226,64,803,956
060.jpg,1024,1024,good,117,139,903,883
262.jpg,1024,1024,good,254,62,781,964
055.jpg,1024,1024,good,51,313,977,722
141.jpg,1024,1024,good,62,237,968,805
001.jpg,1024,1024,good,45,279,966,724
114.jpg,1024,1024,good,120,122,883,909
124.jpg,1024,1024,good,177,94,864,939
197.jpg,1024,1024,good,34,356,990,649
304.jpg,1024,1024,good,160,113,860,924
016.jpg,1024,1024,good,79,164,949,843
056.jpg,1024,1024,good,60,258,975,771
181.jpg,1024,1024,good,237,62,794,966
207.jpg,1024,1024,good,313,37,683,988
287.jpg,1024,1024,good,209,62,809,954
308.jpg,1024,1024,good,75,207,964,815
148.jpg,1024,1024,good,122,141,915,883
121.jpg,1024,1024,good,49,271,988,760
189.jpg,1024,1024,good,75,220,958,807
264.jpg,1024,1024,good,356,43,694,983
128.jpg,1024,1024,good,307,41,726,981
187.jpg,1024,1024,good,232,66,777,954
176.jpg,1024,1024,good,196,75,830,949
289.jpg,1024,1024,good,47,347,990,703
