filename,width,height,class,xmin,ymin,xmax,ymax
006.jpg,1024,1024,bad,190,60,937,949
012.jpg,1024,1024,bad,166,92,894,939
001.jpg,1024,1024,bad,45,309,988,732
016.jpg,1024,1024,bad,54,262,983,745
004.jpg,1024,1024,bad,151,99,862,932
005.jpg,1024,1024,bad,77,196,958,809
015.jpg,1024,1024,bad,285,43,792,979
009.jpg,1024,1024,bad,345,28,732,994
014.jpg,1024,1024,bad,45,283,977,762
020.jpg,1024,1024,bad,30,309,981,715
008.jpg,1024,1024,bad,117,158,924,888
002.jpg,1024,1024,bad,105,132,922,894
022.jpg,1024,1024,bad,24,334,981,675
013.jpg,1024,1024,bad,166,83,879,949
000.jpg,1024,1024,bad,158,100,907,941
018.jpg,1024,1024,bad,326,30,703,988
021.jpg,1024,1024,bad,37,330,1003,690
010.jpg,1024,1024,bad,56,273,983,771
023.jpg,1024,1024,bad,168,92,883,954
011.jpg,1024,1024,bad,47,205,983,775
019.jpg,1024,1024,bad,139,117,896,907
017.jpg,1024,1024,bad,317,43,730,981
003.jpg,1024,1024,bad,279,30,715,973
007.jpg,1024,1024,bad,24,347,990,675
